,0
369,13.586549
370,18.045246
371,17.254465
372,16.249083
373,15.825994
374,15.89216
375,12.132873
376,13.099
377,12.630678
378,13.485341
379,16.526646
380,15.51715
381,14.637997
382,16.859983
383,16.068666
384,19.096628
385,13.650287
386,19.44827
387,20.411367
388,22.885798
389,21.990583
390,23.850676
391,21.674551
392,20.696947
393,21.284197
394,19.629316
395,19.210527
396,18.525951
397,16.306948
398,15.813205
399,14.578497
400,18.435331
401,20.87498
402,17.486551
403,12.278571
404,10.014917
405,8.689354
406,7.7368116
407,6.4187627
408,7.2735753
409,4.405573
410,5.1458673
411,3.6056328
412,4.5845213
413,5.6121535
414,4.167031
415,6.6991725
416,7.608881
417,9.847508
418,10.000776
419,8.817004
420,10.748813
421,11.047581
422,11.363588
423,14.752208
424,16.993126
425,12.089842
426,14.86065
427,12.929255
428,13.14307
429,11.242073
430,11.493166
431,9.623142
432,11.273363
433,12.13323
434,13.234453
435,10.927166
436,10.579516
437,9.372039
438,11.147817
439,9.812074
440,8.803685
441,6.8734655
442,6.7076755
443,6.9772773
444,5.9136457
445,6.3481774
446,6.8779254
447,8.286346
448,8.991776
449,10.634688
450,9.174918
451,11.846559
452,10.052897
453,6.7662177
454,8.455569
455,8.062237
456,6.953569
457,6.305008
458,9.21681
459,11.947699
460,12.648089
461,12.106953
462,15.488905
463,26.197315
464,20.48327
465,18.736567
466,22.30139
467,16.473928
468,17.945784
469,15.284098
470,14.3542185
471,15.109993
472,14.846515
473,16.269138
474,13.428713
475,13.718357
476,16.225548
477,11.163217
478,7.911374
479,7.98686
480,6.875492
481,6.3535438
482,7.6347194
483,7.8317657
484,6.8596582
485,7.193668
486,6.9981112
487,7.0762672
488,7.210023
489,7.6311197
490,6.337665
491,5.6421857
492,6.667571
493,7.4011383
494,6.5246024
495,7.6451025
496,8.16022
497,11.798371
498,13.7824335
499,12.560611
500,13.735144
501,12.964621
502,11.763053
503,12.392002
504,12.2530575
505,11.065441
506,10.897187
507,9.556418
508,10.585249
509,8.102945
510,6.2994294
511,5.576406
512,5.900085
513,5.9699607
514,7.0054154
515,8.575477
516,7.7186694
517,7.497856
518,7.3501997
519,7.4955473
520,7.6521897
521,7.0275307
522,8.761191
523,6.738371
524,5.7874537
525,6.4605
526,6.8676596
527,7.599165
528,9.865785
529,8.699045
